Datetime,Water Level (m)
2023-09-27 06:00:00,0.25337303
2023-09-27 07:00:00,0.3389508
2023-09-27 08:00:00,0.40509513
2023-09-27 09:00:00,0.4177193
2023-09-27 10:00:00,0.3933743
2023-09-27 11:00:00,0.349412
2023-09-27 12:00:00,0.2968089
2023-09-27 13:00:00,0.24349564
2023-09-27 14:00:00,0.19058461
2023-09-27 15:00:00,0.14702849
2023-09-27 16:00:00,0.15581325
2023-09-27 17:00:00,0.23280223
2023-09-27 18:00:00,0.34264478
2023-09-27 19:00:00,0.43020496
2023-09-27 20:00:00,0.49732774
2023-09-27 21:00:00,0.51813626
2023-09-27 22:00:00,0.48920736
2023-09-27 23:00:00,0.44532022
2023-09-28 00:00:00,0.39063248
2023-09-28 01:00:00,0.33475313
2023-09-28 02:00:00,0.2780783
2023-09-28 03:00:00,0.22701447
2023-09-28 04:00:00,0.21553443
2023-09-28 05:00:00,0.28553116
2023-09-28 06:00:00,0.39996737
2023-09-28 07:00:00,0.4951186
2023-09-28 08:00:00,0.5733772
2023-09-28 09:00:00,0.61878043
2023-09-28 10:00:00,0.6020966
2023-09-28 11:00:00,0.5588001
2023-09-28 12:00:00,0.50719094
2023-09-28 13:00:00,0.4498899
2023-09-28 14:00:00,0.3910631
2023-09-28 15:00:00,0.33294177
2023-09-28 16:00:00,0.290652
2023-09-28 17:00:00,0.31942442
2023-09-28 18:00:00,0.42087212
2023-09-28 19:00:00,0.5301793
2023-09-28 20:00:00,0.61985576
2023-09-28 21:00:00,0.68184024
2023-09-28 22:00:00,0.6862183
2023-09-28 23:00:00,0.6451957
2023-09-29 00:00:00,0.59685594
2023-09-29 01:00:00,0.5451473
2023-09-29 02:00:00,0.48785737
2023-09-29 03:00:00,0.42965367
2023-09-29 04:00:00,0.3793285
2023-09-29 05:00:00,0.38187087
2023-09-29 06:00:00,0.4759263
2023-09-29 07:00:00,0.5972092
2023-09-29 08:00:00,0.6938756
2023-09-29 09:00:00,0.76878214
2023-09-29 10:00:00,0.79422593
2023-09-29 11:00:00,0.7582415
2023-09-29 12:00:00,0.71169
2023-09-29 13:00:00,0.662229
2023-09-29 14:00:00,0.60838723
2023-09-29 15:00:00,0.5530943
2023-09-29 16:00:00,0.50104123
2023-09-29 17:00:00,0.47573987
2023-09-29 18:00:00,0.5323548
2023-09-29 19:00:00,0.66251814
2023-09-29 20:00:00,0.76907253
2023-09-29 21:00:00,0.8591381
2023-09-29 22:00:00,0.91771036
2023-09-29 23:00:00,0.9050835
2023-09-30 00:00:00,0.8635136
2023-09-30 01:00:00,0.822211
2023-09-30 02:00:00,0.780852
2023-09-30 03:00:00,0.73131347
2023-09-30 04:00:00,0.681215
2023-09-30 05:00:00,0.6436512
2023-09-30 06:00:00,0.6694949
2023-09-30 07:00:00,0.7896589
2023-09-30 08:00:00,0.9059013
2023-09-30 09:00:00,0.998667
2023-09-30 10:00:00,1.057933
2023-09-30 11:00:00,1.0530018
2023-09-30 12:00:00,1.0083368
2023-09-30 13:00:00,0.96174395
2023-09-30 14:00:00,0.9272908
2023-09-30 15:00:00,0.8791219
2023-09-30 16:00:00,0.82826155
2023-09-30 17:00:00,0.7829531
2023-09-30 18:00:00,0.7775182
2023-09-30 19:00:00,0.85889584
2023-09-30 20:00:00,0.99652183
2023-09-30 21:00:00,1.0987303
2023-09-30 22:00:00,1.1678848
2023-09-30 23:00:00,1.1992462
2023-10-01 00:00:00,1.1580948
2023-10-01 01:00:00,1.1202636
2023-10-01 02:00:00,1.0722065
2023-10-01 03:00:00,1.0365921
2023-10-01 04:00:00,0.9874332
2023-10-01 05:00:00,0.9390493
2023-10-01 06:00:00,0.91401154
2023-10-01 07:00:00,0.9600997
2023-10-01 08:00:00,1.0899489
2023-10-01 09:00:00,1.1900595
2023-10-01 10:00:00,1.2629254
2023-10-01 11:00:00,1.2940114
2023-10-01 12:00:00,1.2532206
2023-10-01 13:00:00,1.2186463
2023-10-01 14:00:00,1.1690471
2023-10-01 15:00:00,1.1265876
2023-10-01 16:00:00,1.0808539
2023-10-01 17:00:00,1.0313752
2023-10-01 18:00:00,0.99565357
2023-10-01 19:00:00,1.0182189
2023-10-01 20:00:00,1.1346194
2023-10-01 21:00:00,1.2463673
2023-10-01 22:00:00,1.3316053
2023-10-01 23:00:00,1.385569
2023-10-02 00:00:00,1.3792124
2023-10-02 01:00:00,1.3383089
2023-10-02 02:00:00,1.3017335
2023-10-02 03:00:00,1.249443
2023-10-02 04:00:00,1.2095941
2023-10-02 05:00:00,1.1667508
2023-10-02 06:00:00,1.1249043
2023-10-02 07:00:00,1.1213381
2023-10-02 08:00:00,1.2003119
2023-10-02 09:00:00,1.316676
2023-10-02 10:00:00,1.4054856
2023-10-02 11:00:00,1.4696674
2023-10-02 12:00:00,1.4741938
2023-10-02 13:00:00,1.4359684
2023-10-02 14:00:00,1.4041991
2023-10-02 15:00:00,1.3576425
2023-10-02 16:00:00,1.3042305
2023-10-02 17:00:00,1.2712042
2023-10-02 18:00:00,1.230163
2023-10-02 19:00:00,1.2216902
2023-10-02 20:00:00,1.2970668
2023-10-02 21:00:00,1.4121817
2023-10-02 22:00:00,1.509126
2023-10-02 23:00:00,1.5883337
2023-10-03 00:00:00,1.6306901
2023-10-03 01:00:00,1.6131115
2023-10-03 02:00:00,1.6193552
2023-10-03 03:00:00,1.5905443
2023-10-03 04:00:00,1.5475292
2023-10-03 05:00:00,1.5058713
2023-10-03 06:00:00,1.4688274
